congress,chamber,committee_code,icpsr,committee_name,is_delegate
103,House,102,10716,AGRICULTURE,FALSE
103,House,102,10573,AGRICULTURE,FALSE
103,House,102,14048,AGRICULTURE,FALSE
103,House,102,14219,AGRICULTURE,FALSE
103,House,102,14444,AGRICULTURE,FALSE
103,House,102,14422,AGRICULTURE,FALSE
103,House,102,14664,AGRICULTURE,FALSE
103,House,102,14459,AGRICULTURE,FALSE
103,House,102,15052,AGRICULTURE,FALSE
103,House,102,15425,AGRICULTURE,FALSE
103,House,102,15411,AGRICULTURE,FALSE
103,House,102,15623,AGRICULTURE,FALSE
103,House,102,15631,AGRICULTURE,FALSE
103,House,102,15635,AGRICULTURE,FALSE
103,House,102,29127,AGRICULTURE,FALSE
103,House,102,29105,AGRICULTURE,FALSE
103,House,102,29382,AGRICULTURE,FALSE
103,House,102,29366,AGRICULTURE,FALSE
103,House,102,29302,AGRICULTURE,FALSE
103,House,102,29937,AGRICULTURE,FALSE
103,House,102,29351,AGRICULTURE,FALSE
103,House,102,29384,AGRICULTURE,FALSE
103,House,102,29396,AGRICULTURE,FALSE
103,House,102,29344,AGRICULTURE,FALSE
103,House,102,29353,AGRICULTURE,FALSE
103,House,102,29330,AGRICULTURE,FALSE
103,House,102,29339,AGRICULTURE,FALSE
103,House,102,14852,AGRICULTURE,FALSE
103,House,102,14819,AGRICULTURE,FALSE
103,House,102,14827,AGRICULTURE,FALSE
103,House,102,15035,AGRICULTURE,FALSE
103,House,102,15063,AGRICULTURE,FALSE
103,House,102,15093,AGRICULTURE,FALSE
103,House,102,29124,AGRICULTURE,FALSE
103,House,102,29108,AGRICULTURE,FALSE
103,House,102,29129,AGRICULTURE,FALSE
103,House,102,29118,AGRICULTURE,FALSE
103,House,102,29137,AGRICULTURE,FALSE
103,House,102,29115,AGRICULTURE,FALSE
103,House,102,29104,AGRICULTURE,FALSE
103,House,102,29338,AGRICULTURE,FALSE
103,House,102,39308,AGRICULTURE,FALSE
103,House,102,29307,AGRICULTURE,FALSE
103,House,102,29311,AGRICULTURE,FALSE
103,House,102,29332,AGRICULTURE,FALSE
103,House,102,29368,AGRICULTURE,FALSE
103,House,102,29313,AGRICULTURE,FALSE
103,House,102,29393,AGRICULTURE,FALSE
103,House,102,29352,AGRICULTURE,FALSE
103,House,102,14672,AGRICULTURE,FALSE
103,House,102,29305,AGRICULTURE,FALSE
103,House,102,29364,AGRICULTURE,FALSE
103,House,102,29300,AGRICULTURE,FALSE
103,House,104,6845,APPROPRIATIONS,FALSE
103,House,104,10075,APPROPRIATIONS,FALSE
103,House,104,8672,APPROPRIATIONS,FALSE
103,House,104,10421,APPROPRIATIONS,FALSE
103,House,104,12036,APPROPRIATIONS,FALSE
103,House,104,12030,APPROPRIATIONS,FALSE
103,House,104,11000,APPROPRIATIONS,FALSE
103,House,104,14072,APPROPRIATIONS,FALSE
103,House,104,14062,APPROPRIATIONS,FALSE
103,House,104,14413,APPROPRIATIONS,FALSE
103,House,104,14656,APPROPRIATIONS,FALSE
103,House,104,14620,APPROPRIATIONS,FALSE
103,House,104,14624,APPROPRIATIONS,FALSE
103,House,104,14233,APPROPRIATIONS,FALSE
103,House,104,14873,APPROPRIATIONS,FALSE
103,House,104,14210,APPROPRIATIONS,FALSE
103,House,104,15021,APPROPRIATIONS,FALSE
103,House,104,15018,APPROPRIATIONS,FALSE
103,House,104,15083,APPROPRIATIONS,FALSE
103,House,104,15129,APPROPRIATIONS,FALSE
103,House,104,15029,APPROPRIATIONS,FALSE
103,House,104,15443,APPROPRIATIONS,FALSE
103,House,104,15438,APPROPRIATIONS,FALSE
103,House,104,15448,APPROPRIATIONS,FALSE
103,House,104,15124,APPROPRIATIONS,FALSE
103,House,104,14823,APPROPRIATIONS,FALSE
103,House,104,15070,APPROPRIATIONS,FALSE
103,House,104,15081,APPROPRIATIONS,FALSE
103,House,104,15612,APPROPRIATIONS,FALSE
103,House,104,29102,APPROPRIATIONS,FALSE
103,House,104,29134,APPROPRIATIONS,FALSE
103,House,104,29109,APPROPRIATIONS,FALSE
103,House,104,29149,APPROPRIATIONS,FALSE
103,House,104,29111,APPROPRIATIONS,FALSE
103,House,104,29123,APPROPRIATIONS,FALSE
103,House,104,29101,APPROPRIATIONS,FALSE
103,House,104,29334,APPROPRIATIONS,FALSE
103,House,104,10607,APPROPRIATIONS,FALSE
103,House,104,11036,APPROPRIATIONS,FALSE
