chamber,label,group,congress,committee_n,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
House,House Appropriations,not_predicted,103,59,443,-0.261,-0.165,-0.096,0.096,-0.265,0.141,FALSE,0.18038196180381963
House,House Appropriations,not_predicted,104,57,445,0.208,0.178,0.03,0.03,-0.225,0.303,FALSE,0.795020497950205
House,House Appropriations,not_predicted,105,60,444,0.2125,0.158,0.05449999999999999,0.05449999999999999,-0.2685,0.317,FALSE,0.7755224477552245
House,House Appropriations,not_predicted,106,64,440,0.245,0.135,0.10999999999999999,0.10999999999999999,-0.273,0.309,FALSE,0.54994500549945
House,House Appropriations,not_predicted,107,65,444,0.249,0.158,0.091,0.091,-0.272,0.315,FALSE,0.5674432556744325
House,House Appropriations,not_predicted,108,65,440,0.249,0.211,0.038000000000000006,0.038000000000000006,-0.266,0.32,FALSE,0.6718328167183282
House,House Appropriations,not_predicted,109,67,439,0.269,0.229,0.04000000000000001,0.04000000000000001,-0.266,0.325,FALSE,0.5386461353864613
House,House Appropriations,not_predicted,110,68,449,-0.229,-0.155,-0.07400000000000001,0.07400000000000001,-0.2925,0.274,FALSE,0.529047095290471
House,House Appropriations,not_predicted,111,61,448,-0.289,-0.184,-0.10499999999999998,0.10499999999999998,-0.299,0.244,FALSE,0.16098390160983903
House,House Appropriations,not_predicted,112,50,445,0.283,0.269,0.013999999999999957,0.013999999999999957,-0.2855,0.3845,FALSE,0.8679132086791321
House,House Appropriations,not_predicted,113,57,444,0.282,0.2585,0.023499999999999965,0.023499999999999965,-0.278,0.392,FALSE,0.8214178582141786
House,House Appropriations,not_predicted,114,54,441,0.269,0.292,-0.022999999999999965,0.022999999999999965,-0.2695,0.40800000000000003,FALSE,0.7753224677532247
House,House Appropriations,not_predicted,115,52,450,0.294,0.28049999999999997,0.013500000000000012,0.013500000000000012,-0.28049999999999997,0.4255124999999998,FALSE,0.8787121287871212
House,House Appropriations,not_predicted,116,53,449,-0.227,-0.194,-0.033,0.033,-0.312,0.372,FALSE,0.771922807719228
House,House Appropriations,not_predicted,117,59,455,-0.227,-0.164,-0.063,0.063,-0.299,0.38,FALSE,0.7485251474852515
House,House Budget,not_predicted,103,45,443,-0.165,-0.165,0,0,-0.289,0.192,FALSE,1
