test,stratum,chamber,label,group,congress,committee_n,n_D,n_R,n_I,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
stratified_primary,overall,House,House Appropriations,not_predicted,103,59,36,23,0,443,-0.261,-0.165,-0.096,0.096,-0.25,-0.106,TRUE,0.0110988901109889
stratified_primary,overall,House,House Appropriations,not_predicted,104,57,25,32,0,445,0.208,0.178,0.03,0.03,0.155,0.273,FALSE,0.6639336066393361
stratified_primary,overall,House,House Appropriations,not_predicted,105,60,27,33,0,444,0.2125,0.158,0.05449999999999999,0.05449999999999999,0.14198750000000002,0.2855,FALSE,0.6246375362463754
stratified_primary,overall,House,House Appropriations,not_predicted,106,64,28,35,1,440,0.245,0.135,0.10999999999999999,0.10999999999999999,0.158,0.294,FALSE,0.24277572242775722
stratified_primary,overall,House,House Appropriations,not_predicted,107,65,29,35,1,444,0.249,0.158,0.091,0.091,0.141,0.288,FALSE,0.15748425157484253
stratified_primary,overall,House,House Appropriations,not_predicted,108,65,29,36,0,440,0.249,0.211,0.038000000000000006,0.038000000000000006,0.204,0.296,FALSE,0.3401659834016598
stratified_primary,overall,House,House Appropriations,not_predicted,109,67,29,38,0,439,0.269,0.229,0.04000000000000001,0.04000000000000001,0.221,0.312,FALSE,0.24317568243175683
stratified_primary,overall,House,House Appropriations,not_predicted,110,68,37,31,0,449,-0.229,-0.155,-0.07400000000000001,0.07400000000000001,-0.259,-0.108,FALSE,0.0821917808219178
stratified_primary,overall,House,House Appropriations,not_predicted,111,61,38,23,0,448,-0.289,-0.184,-0.10499999999999998,0.10499999999999998,-0.293,-0.156,FALSE,0.039996000399960006
stratified_primary,overall,House,House Appropriations,not_predicted,112,50,21,29,0,445,0.283,0.269,0.013999999999999957,0.013999999999999957,0.239,0.367,FALSE,0.7668233176682332
stratified_primary,overall,House,House Appropriations,not_predicted,113,57,24,33,0,444,0.282,0.2585,0.023499999999999965,0.023499999999999965,0.244,0.384,FALSE,0.7956204379562044
stratified_primary,overall,House,House Appropriations,not_predicted,114,54,23,31,0,441,0.269,0.292,-0.022999999999999965,0.022999999999999965,0.22949999999999998,0.377,FALSE,0.5563443655634437
stratified_primary,overall,House,House Appropriations,not_predicted,115,52,21,31,0,450,0.294,0.28049999999999997,0.013500000000000012,0.013500000000000012,0.26,0.41500000000000004,FALSE,0.8478152184781522
stratified_primary,overall,House,House Appropriations,not_predicted,116,53,30,23,0,449,-0.227,-0.194,-0.033,0.033,-0.291,-0.165,FALSE,0.6271372862713729
stratified_primary,overall,House,House Appropriations,not_predicted,117,59,33,26,0,455,-0.227,-0.164,-0.063,0.063,-0.296,-0.194,FALSE,0.7516248375162484
stratified_primary,overall,House,House Budget,not_predicted,103,45,28,17,0,443,-0.165,-0.165,0,0,-0.266,-0.106,FALSE,1
stratified_primary,overall,House,House Budget,not_predicted,104,45,20,25,0,445,0.256,0.178,0.07800000000000001,0.07800000000000001,0.129,0.284,FALSE,0.0822917708229177
stratified_primary,overall,House,House Budget,not_predicted,105,44,21,23,0,444,0.1925,0.158,0.0345,0.0345,0.052,0.2585,FALSE,0.5713428657134286
stratified_primary,overall,House,House Budget,not_predicted,106,44,19,25,0,440,0.2995,0.135,0.16449999999999998,0.16449999999999998,0.1725,0.318,FALSE,0.0665933406659334
stratified_primary,overall,House,House Budget,not_predicted,107,46,20,26,0,444,0.308,0.158,0.15,0.15,0.1725,0.3125,FALSE,0.035396460353964605
stratified_primary,overall,House,House Budget,not_predicted,108,44,20,24,0,440,0.3075,0.211,0.0965,0.0965,0.16849999999999998,0.29900000000000004,TRUE,0.015398460153984602
stratified_primary,overall,House,House Budget,not_predicted,109,41,17,24,0,439,0.333,0.229,0.10400000000000001,0.10400000000000001,0.221,0.34,FALSE,0.046795320467953205
stratified_primary,overall,House,House Budget,not_predicted,110,42,24,18,0,449,-0.241,-0.155,-0.086,0.086,-0.297,-0.119,FALSE,0.26947305269473054
stratified_primary,overall,House,House Budget,not_predicted,111,43,25,18,0,448,-0.226,-0.184,-0.04200000000000001,0.04200000000000001,-0.278,-0.114,FALSE,0.3738626137386261
stratified_primary,overall,House,House Budget,not_predicted,112,39,17,22,0,445,0.34,0.269,0.07100000000000001,0.07100000000000001,0.219,0.367,FALSE,0.07639236076392361
stratified_primary,overall,House,House Budget,not_predicted,113,44,21,23,0,444,0.3315,0.2585,0.07300000000000001,0.07300000000000001,0.1995,0.32,TRUE,0.014198580141985802
stratified_primary,overall,House,House Budget,not_predicted,114,40,14,26,0,441,0.40700000000000003,0.292,0.11500000000000005,0.11500000000000005,0.2825,0.4415,FALSE,0.1166883311668833
stratified_primary,overall,House,House Budget,not_predicted,115,37,14,23,0,450,0.387,0.28049999999999997,0.10650000000000004,0.10650000000000004,0.265,0.447,FALSE,0.24687531246875313
stratified_primary,overall,House,House Budget,not_predicted,116,37,22,15,0,449,-0.286,-0.194,-0.09199999999999997,0.09199999999999997,-0.329,-0.176,FALSE,0.1815818418158184
stratified_primary,overall,House,House Budget,not_predicted,117,36,20,16,0,455,-0.24,-0.164,-0.07599999999999998,0.07599999999999998,-0.3045,-0.1745,FALSE,0.4577542245775422
stratified_primary,overall,House,House Rules,not_predicted,103,13,9,4,0,443,-0.28,-0.165,-0.11500000000000002,0.11500000000000002,-0.385,-0.086,FALSE,0.27477252274772523
stratified_primary,overall,House,House Rules,not_predicted,104,13,4,9,0,445,0.32,0.178,0.14200000000000002,0.14200000000000002,0.198,0.423,FALSE,0.44245575442455753
stratified_primary,overall,House,House Rules,not_predicted,105,13,4,9,0,444,0.391,0.158,0.233,0.233,0.211,0.419,FALSE,0.08039196080391961
stratified_primary,overall,House,House Rules,not_predicted,106,13,4,9,0,440,0.349,0.135,0.21399999999999997,0.21399999999999997,0.217,0.423,FALSE,0.33186681331866813
stratified_primary,overall,House,House Rules,not_predicted,107,15,6,9,0,444,0.32,0.158,0.162,0.162,0.162,0.39112499999999817,FALSE,0.2732726727327267
stratified_primary,overall,House,House Rules,not_predicted,108,14,4,10,0,440,0.38149999999999995,0.211,0.17049999999999996,0.17049999999999996,0.244,0.434,FALSE,0.1718828117188281
stratified_primary,overall,House,House Rules,not_predicted,109,13,4,9,0,439,0.323,0.229,0.094,0.094,0.238,0.439,FALSE,0.5773422657734226
stratified_primary,overall,House,House Rules,not_predicted,110,13,9,4,0,449,-0.399,-0.155,-0.24400000000000002,0.24400000000000002,-0.402,-0.155,FALSE,0.036196380361963806
stratified_primary,overall,House,House Rules,not_predicted,111,16,12,4,0,448,-0.3405,-0.184,-0.15650000000000003,0.15650000000000003,-0.3925,-0.18,FALSE,0.17538246175382463
stratified_primary,overall,House,House Rules,not_predicted,112,13,4,9,0,445,0.483,0.269,0.21399999999999997,0.21399999999999997,0.259,0.51,FALSE,0.06719328067193281
stratified_primary,overall,House,House Rules,not_predicted,113,13,4,9,0,444,0.483,0.2585,0.22449999999999998,0.22449999999999998,0.259,0.527,FALSE,0.11848815118488151
stratified_primary,overall,House,House Rules,not_predicted,114,13,4,9,0,441,0.323,0.292,0.031000000000000028,0.031000000000000028,0.256,0.529,FALSE,0.8592140785921408
stratified_primary,overall,House,House Rules,not_predicted,115,14,5,9,0,450,0.364,0.28049999999999997,0.08350000000000002,0.08350000000000002,0.247,0.5035124999999998,FALSE,0.5403459654034597
stratified_primary,overall,House,House Rules,not_predicted,116,14,10,4,0,449,-0.3585,-0.194,-0.16449999999999998,0.16449999999999998,-0.398,-0.2175,FALSE,0.17548245175482452
