congress,chamber,icpsr,state_abbrev,party_code,bioname,nominate_dim1
103,House,11000,AL,100,"BEVILL, Tom",-0.213
103,House,15090,AL,200,"CALLAHAN, Herbert Leon (Sonny)",0.373
103,House,15632,AL,100,"BROWDER, John Glen",-0.165
103,House,29100,AL,100,"CRAMER, Robert E. (Bud), Jr.",-0.132
103,House,29300,AL,200,"EVERETT, Robert Terry",0.414
103,House,29301,AL,200,"BACHUS, Spencer T., III",0.387
103,House,29302,AL,100,"HILLIARD, Earl Frederick",-0.555
103,House,14066,AK,200,"YOUNG, Donald Edwin",0.283
103,House,29401,AS,100,"FALEOMAVAEGA, Eni F. H.",NA
103,House,14454,AZ,200,"STUMP, Robert Lee",0.703
103,House,15105,AZ,200,"KOLBE, James Thomas",0.351
103,House,15429,AZ,200,"KYL, Jon Llewellyn",0.548
103,House,29101,AZ,100,"PASTOR, Ed",-0.421
103,House,29303,AZ,100,"COPPERSMITH, Samuel G.",-0.238
103,House,29304,AZ,100,"ENGLISH, Karan",-0.298
103,House,14058,AR,100,"THORNTON, Raymond Hoyt (Ray), Jr.",-0.306
103,House,29305,AR,100,"LINCOLN, Blanche Lambert",-0.166
103,House,29306,AR,200,"HUTCHINSON, Timothy",0.419
103,House,29307,AR,200,"DICKEY, Jay W., Jr.",0.391
103,House,10573,CA,100,"BROWN, George Edward, Jr.",-0.506
103,House,10583,CA,100,"EDWARDS, William Donlon (Don)",-0.599
103,House,13011,CA,100,"DELLUMS, Ronald V.",-0.644
103,House,14040,CA,200,"MOORHEAD, Carlos John",0.465
103,House,14053,CA,100,"STARK, Fortney Hillman (Pete), Jr.",-0.631
103,House,14256,CA,100,"MILLER, George",-0.552
103,House,14257,CA,100,"MINETA, Norman Y.",-0.479
103,House,14280,CA,100,"WAXMAN, Henry Arnold",-0.473
103,House,14405,CA,100,"BEILENSON, Anthony Charles",-0.44
103,House,14414,CA,200,"DORNAN, Robert Kenneth",0.49
103,House,14444,CA,100,"PANETTA, Leon Edward",-0.258
103,House,14620,CA,100,"DIXON, Julian Carey",-0.458
103,House,14624,CA,100,"FAZIO, Victor Herbert, Jr.",-0.455
103,House,14644,CA,200,"LEWIS, Charles Jeremy (Jerry)",0.348
103,House,14649,CA,100,"MATSUI, Robert T.",-0.404
103,House,14669,CA,200,"THOMAS, William Marshall",0.371
103,House,14813,CA,200,"DREIER, David Timothy",0.478
103,House,14835,CA,200,"HUNTER, Duncan Lee",0.47
103,House,14837,CA,100,"LANTOS, Thomas Peter",-0.376
103,House,14879,CA,100,"MARTÍNEZ, Matthew G.",-0.341
103,House,15005,CA,100,"BERMAN, Howard Lawrence",-0.404
103,House,15032,CA,100,"LEHMAN, Richard Henry",-0.27
103,House,15040,CA,200,"McCANDLESS, Alfred A.",0.474
103,House,15051,CA,200,"PACKARD, Ronald C.",0.419
103,House,15070,CA,100,"TORRES, Esteban Edward",-0.487
103,House,15413,CA,200,"GALLEGLY, Elton W.",0.402
103,House,15420,CA,200,"HERGER, Walter William (Wally)",0.551
103,House,15448,CA,100,"PELOSI, Nancy",-0.489
